seed	train_accuracy_first	train_accuracy_best	train_best_epoch	train_accuracy_end	test_accuracy_first	test_accuracy_best	test_best_epoch	test_accuracy_end
12	    0.666	                0.966	            69874	            0.95	            0.633	            0.766	            1812	        0.733
31	    0.433	                0.85	            118	                0.833	            0.433	            0.75	            101	            0.616
16	    0.433	                0.9	                519	                0.9	                0.433	            0.783	            463	            0.633
2353	0.566	                0.966	            42899	            0.933	            0.766	            0.85	            120	            0.75
314	    0.316	                0.883	            97792	            0.883	            0.4	                0.783	            714	            0.65
6523	0.466	                0.8	                364	                0.8	                0.416	            0.783	            343	            0.683
634	    0.65	                0.85	            143	                0.85	            0.45	            0.733	            5828	        0.683
23	    0.583	                0.783	            921	                0.75	            0.566	            0.783	            206	            0.766
802	    0.433	                0.95	            294	                0.933	            0.433	            0.766	            208	            0.733
134	    0.466	                0.85	            149	                0.85	            0.333	            0.716	            1921	        0.683
