seed	 train_accuracy_first	 train_accuracy_best	 train_best_epoch	 train_accuracy_end	 test_accuracy_first	 test_accuracy_best	 test_best_epoch	test_accuracy_end
12	     0.587	                 0.895	                 38320	             0.891	             0.633	                 0.8	             44930	            0.8
31	     0.516	                 0.820	                 32325	             0.812	             0.433	                 0.733	             722	            0.716
16	     0.516	                 0.841	                 44575	             0.829	             0.433	                 0.783	             11244	            0.75
2353	 0.545	                 0.795	                 77067	             0.795	             0.766	                 0.85	             74	                0.783
314	     0.308	                 0.791	                 24176	             0.783	             0.4	                 0.783	             60806	            0.783
6523	 0.541	                 0.779	                 25312	             0.775	             0.416	                 0.766	             404	            0.716
634	     0.620	                 0.837	                 9400	             0.825	             0.45	                 0.733	             329	            0.7
23	     0.491	                 0.783	                 275	             0.779	             0.566	                 0.766	             38	                0.7
802	     0.516	                 0.920	                 75135	             0.920	             0.433	                 0.8	             39816	            0.8
134	     0.379	                 0.808	                 94967	             0.808	             0.333	                 0.733	             1268	            0.7
