epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,781,,,,,0.6597999930381775,0.946258008480072
0,781,,,0.5356000065803528,1.2748385667800903,,
1,1563,,,,,0.5964000225067139,1.2969297170639038
1,1563,,,0.7283399701118469,0.7720273733139038,,
2,2345,,,,,0.7512999773025513,0.7201692461967468
2,2345,,,0.7843999862670898,0.6124290823936462,,
3,3127,,,,,0.802299976348877,0.5721418261528015
3,3127,,,0.8222399950027466,0.5142421126365662,,
4,3909,,,,,0.791700005531311,0.6052839756011963
4,3909,,,0.8485399484634399,0.4356382489204407,,
5,4691,,,,,0.781000018119812,0.6856058835983276
5,4691,,,0.8710600137710571,0.3715376555919647,,
6,5473,,,,,0.7914999723434448,0.6452468633651733
6,5473,,,0.8892000317573547,0.31801387667655945,,
7,6255,,,,,0.8127000331878662,0.6103314161300659
7,6255,,,0.9061999917030334,0.26741018891334534,,
8,7037,,,,,0.7958000302314758,0.7225822806358337
8,7037,,,0.9198600053787231,0.22854496538639069,,
9,7819,,,,,0.8100999593734741,0.6812528371810913
9,7819,,,0.9310200214385986,0.19821840524673462,,
10,7820,0.8100999593734741,0.6812528371810913,,,,
