epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,781,,,,,0.32429999113082886,1.6824084520339966
0,781,,,0.29809999465942383,1.708092451095581,,
1,1563,,,,,0.42249998450279236,1.4608924388885498
1,1563,,,0.3831000030040741,1.5032659769058228,,
2,2345,,,,,0.4399000108242035,1.4149048328399658
2,2345,,,0.4330599904060364,1.3912354707717896,,
3,3127,,,,,0.4758000075817108,1.344831109046936
3,3127,,,0.48890000581741333,1.2797222137451172,,
4,3909,,,,,0.35109999775886536,1.993476152420044
4,3909,,,0.5335999727249146,1.1980854272842407,,
5,4691,,,,,0.460099995136261,1.534208059310913
5,4691,,,0.5646399259567261,1.1307646036148071,,
6,5473,,,,,0.461499959230423,1.5305839776992798
6,5473,,,0.589900016784668,1.0746787786483765,,
7,6255,,,,,0.5418999791145325,1.2252156734466553
7,6255,,,0.6126599907875061,1.0147850513458252,,
8,7037,,,,,0.5769999623298645,1.1408348083496094
8,7037,,,0.6294399499893188,0.9749252200126648,,
9,7819,,,,,0.5160000324249268,1.4237288236618042
9,7819,,,0.6452000141143799,0.9316670894622803,,
10,8601,,,,,0.5743000507354736,1.1835269927978516
10,8601,,,0.6624400019645691,0.8882624506950378,,
11,8602,0.5743000507354736,1.1835269927978516,,,,
