epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,599,,,,,0.9684996604919434,0.09527702629566193
0,599,,,0.8986910581588745,0.3212152123451233,,
1,1199,,,,,0.9814026355743408,0.05579611286520958
1,1199,,,0.9737804532051086,0.08440069109201431,,
2,1799,,,,,0.9848864078521729,0.04534332454204559
2,1799,,,0.9811624884605408,0.06109311431646347,,
3,2399,,,,,0.9860178828239441,0.04214564338326454
3,2399,,,0.9845155477523804,0.04869522526860237,,
4,2999,,,,,0.9854990243911743,0.04331519454717636
4,2999,,,0.9879223108291626,0.03866211697459221,,
5,3599,,,,,0.9888485670089722,0.03185804933309555
5,3599,,,0.9888790845870972,0.035071197897195816,,
6,4199,,,,,0.9879962801933289,0.03601383790373802
6,4199,,,0.9905655980110168,0.028640957549214363,,
7,4799,,,,,0.9880688190460205,0.03647107258439064
7,4799,,,0.9923836588859558,0.023894386366009712,,
8,5399,,,,,0.9885119199752808,0.03687266260385513
8,5399,,,0.9930543899536133,0.02177918329834938,,
9,5999,,,,,0.9890433549880981,0.0331021286547184
9,5999,,,0.9940806031227112,0.01764036901295185,,
10,6599,,,,,0.9891021847724915,0.034487493336200714
10,6599,,,0.9949309229850769,0.015603998675942421,,
11,6600,0.9891021847724915,0.034487493336200714,,,,
