epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,599,,,,,0.5277974605560303,1.5060468912124634
0,599,,,0.3600759506225586,1.7546634674072266,,
1,1199,,,,,0.6025640964508057,1.1393617391586304
1,1199,,,0.5724722146987915,1.2864048480987549,,
2,1799,,,,,0.7476025223731995,0.9345409274101257
2,1799,,,0.6855478286743164,1.0374279022216797,,
3,2399,,,,,0.7438877820968628,0.8130826950073242
3,2399,,,0.7480098605155945,0.8740444779396057,,
4,2999,,,,,0.824459433555603,0.6960095167160034
4,2999,,,0.7982308268547058,0.7469412684440613,,
5,3599,,,,,0.8069159984588623,0.625463604927063
5,3599,,,0.823279857635498,0.6505035758018494,,
6,4199,,,,,0.859799325466156,0.5450799465179443
6,4199,,,0.849334716796875,0.56306391954422,,
7,4799,,,,,0.8669106960296631,0.48254185914993286
7,4799,,,0.8573752641677856,0.5005754828453064,,
8,5399,,,,,0.8398452401161194,0.4795585870742798
8,5399,,,0.8607808947563171,0.4559200704097748,,
9,5999,,,,,0.8680692911148071,0.4229670763015747
9,5999,,,0.8666138648986816,0.4176880121231079,,
10,6599,,,,,0.8690537810325623,0.3884502351284027
10,6599,,,0.8706658482551575,0.38095638155937195,,
11,6600,0.8690537810325623,0.3884502351284027,,,,
